rank,channel,evidence_fit,profit_potential,zero_upfront_cash,speed,scale,measurement,payers_30d_low,payers_30d_base,payers_30d_high,verdict,score,payers_30d_range
1,Partner Engine: old partners + microauthors CPA,95,90,95,85,85,95,20,100,250,Primary motion,91.0,20–250 (base 100)
2,30-day gift-pass referral sprint,90,65,90,90,60,90,15,35,60,"Second experiment, not the source of new graphs",80.5,15–60 (base 35)
3,Cross-bot and channel rev-share integrations,65,70,90,70,80,80,10,30,80,Fold into Partner Engine after first proof,74.25,10–80 (base 30)
4,Family/group plan as a product loop,75,55,90,65,65,85,10,25,50,Good product loop; not first acquisition motion,71.25,10–50 (base 25)
5,B2B2C bundles with tech/service communities,60,70,90,55,75,75,5,20,50,Explore after the direct partner playbook works,69.5,5–50 (base 20)
6,CPA/affiliate marketplace,55,65,75,55,80,90,10,35,100,"Potential scale, but weaker control and likely platform fees",67.25,10–100 (base 35)
7,Organic setup content and search,55,55,95,30,85,70,0,5,30,Long-term compounding channel; too slow for the current hole,63.25,0–30 (base 5)
8,"UGC, reviews and customer ambassadors",60,50,90,60,60,65,5,15,40,"Supporting trust layer, not enough as the primary engine",63.0,5–40 (base 15)
9,Telegram Mini App + Stars affiliate discovery,40,55,80,30,85,90,0,10,50,Future distribution option; requires Stars economics,59.25,0–50 (base 10)
10,Viral Mini App/game season,40,45,80,40,80,75,0,15,80,High variance; game has no audience before distribution,56.5,0–80 (base 15)
11,App-store/ASO and bot directories,45,45,85,35,70,65,0,5,20,"Hygiene, not a growth engine",55.25,0–20 (base 5)
12,Broad paid Telegram placements,45,40,10,75,70,80,0,0,0,Rejected: no budget and rising placement prices,50.5,0–0 (base 0)
